"scenario","rep","method","idx","lambda","cv_mse","true_fdr","est_fdr"
"independent",1,"cv_min",39,0.0577052775937964,1.18930541642984,0.555555555555556,0.37037037037037
"independent",1,"cv_1se",35,0.0818680165596217,1.23600294444751,0.285714285714286,0.0793650793650794
"independent",1,"cvc_max_lambda",38,0.0629781962783572,1.19231612192255,0.523809523809524,0.317460317460317
"independent",2,"cv_min",42,0.04439064791502,1.0325153132019,0.661016949152542,0.395480225988701
"independent",2,"cv_1se",36,0.0750135269156635,1.08537586782282,0.411764705882353,0.196078431372549
"independent",2,"cvc_max_lambda",39,0.0577052775937964,1.0420683865864,0.574468085106383,0.307328605200946
"independent",3,"cv_min",40,0.0528738398200432,1.16312053990588,0.62962962962963,0.432098765432099
"independent",3,"cv_1se",35,0.0818680165596217,1.22369388062288,0.310344827586207,0.114942528735632
"independent",3,"cvc_max_lambda",39,0.0577052775937964,1.16642751463766,0.565217391304348,0.338164251207729
"independent",4,"cv_min",43,0.0406739921413883,1.07167015923824,0.714285714285714,0.571428571428571
"independent",4,"cv_1se",36,0.0750135269156635,1.13016567751047,0.354838709677419,0.10752688172043
"independent",4,"cvc_max_lambda",39,0.0577052775937964,1.08679188364626,0.51219512195122,0.2710027100271
"independent",5,"cv_min",43,0.0406739921413883,1.26025973048882,0.753086419753086,0.548696844993141
"independent",5,"cv_1se",35,0.0818680165596217,1.34951632821245,0.473684210526316,0.233918128654971
"independent",5,"cvc_max_lambda",41,0.048446919482736,1.26707727474357,0.714285714285714,0.476190476190476
"independent",6,"cv_min",43,0.0406739921413883,1.06594704762127,0.733333333333333,0.503703703703704
"independent",6,"cv_1se",37,0.0687329369489366,1.11588028647386,0.5,0.222222222222222
"independent",6,"cvc_max_lambda",40,0.0528738398200432,1.07692494643364,0.642857142857143,0.396825396825397
"independent",7,"cv_min",41,0.048446919482736,1.08526450857341,0.615384615384615,0.363247863247863
"independent",7,"cv_1se",36,0.0750135269156635,1.13647457950232,0.285714285714286,0
"independent",7,"cvc_max_lambda",39,0.0577052775937964,1.09053030021127,0.444444444444444,0.154320987654321
"independent",8,"cv_min",38,0.0629781962783572,1.28338075772746,0.51219512195122,0.43360433604336
"independent",8,"cv_1se",35,0.0818680165596217,1.30305871376954,0.230769230769231,0.213675213675214
"independent",8,"cvc_max_lambda",36,0.0750135269156635,1.2917243664654,0.310344827586207,0.306513409961686
"independent",9,"cv_min",42,0.04439064791502,1.07173780012471,0.710144927536232,0.531400966183575
"independent",9,"cv_1se",35,0.0818680165596217,1.13728722123485,0.354838709677419,0.10752688172043
"independent",9,"cvc_max_lambda",40,0.0528738398200432,1.07619369006873,0.636363636363636,0.424242424242424
"independent",10,"cv_min",42,0.04439064791502,1.21960777264275,0.701492537313433,0.530679933665008
"independent",10,"cv_1se",36,0.0750135269156635,1.25187319382275,0.354838709677419,0.17921146953405
"independent",10,"cvc_max_lambda",37,0.0687329369489366,1.23894242065746,0.393939393939394,0.168350168350168
"independent",11,"cv_min",39,0.0577052775937964,1.22323342280865,0.534883720930233,0.361757105943152
"independent",11,"cv_1se",35,0.0818680165596217,1.25060135498727,0.259259259259259,0.164609053497942
"independent",11,"cvc_max_lambda",38,0.0629781962783572,1.22436200055611,0.428571428571429,0.253968253968254
"independent",12,"cv_min",42,0.04439064791502,1.20430414023877,0.714285714285714,0.507936507936508
"independent",12,"cv_1se",37,0.0687329369489366,1.24365424715721,0.534883720930233,0.335917312661499
"independent",12,"cvc_max_lambda",39,0.0577052775937964,1.21698099281716,0.642857142857143,0.456349206349206
"independent",13,"cv_min",39,0.0577052775937964,1.17628049183847,0.487179487179487,0.341880341880342
"independent",13,"cv_1se",35,0.0818680165596217,1.20572986082943,0.259259259259259,0.164609053497942
"independent",13,"cvc_max_lambda",38,0.0629781962783572,1.17832231842421,0.428571428571429,0.317460317460317
"independent",14,"cv_min",40,0.0528738398200432,1.07808482935051,0.565217391304348,0.36231884057971
"independent",14,"cv_1se",35,0.0818680165596217,1.1341594035451,0.310344827586207,0.191570881226054
"independent",14,"cvc_max_lambda",39,0.0577052775937964,1.08177667177359,0.545454545454545,0.328282828282828
"independent",15,"cv_min",41,0.048446919482736,1.23308613358805,0.622641509433962,0.524109014675052
"independent",15,"cv_1se",35,0.0818680165596217,1.28638514167605,0.2,0.133333333333333
"independent",15,"cvc_max_lambda",37,0.0687329369489366,1.25525795397065,0.428571428571429,0.285714285714286
"independent",16,"cv_min",39,0.0577052775937964,1.29485396288832,0.6,0.377777777777778
"independent",16,"cv_1se",35,0.0818680165596217,1.32300880462361,0.333333333333333,0.0740740740740741
"independent",16,"cvc_max_lambda",38,0.0629781962783572,1.29710571836363,0.555555555555556,0.37037037037037
"independent",17,"cv_min",41,0.048446919482736,1.09755993903197,0.6,0.466666666666667
"independent",17,"cv_1se",36,0.0750135269156635,1.15114151998383,0.375,0.243055555555556
"independent",17,"cvc_max_lambda",39,0.0577052775937964,1.10865657904209,0.534883720930233,0.387596899224806
"independent",18,"cv_min",43,0.0406739921413883,1.15928289356811,0.764705882352941,0.549019607843137
"independent",18,"cv_1se",35,0.0818680165596217,1.21682007654495,0.333333333333333,0.037037037037037
"independent",18,"cvc_max_lambda",38,0.0629781962783572,1.17315563032729,0.555555555555556,0.271604938271605
"independent",19,"cv_min",41,0.048446919482736,1.23378754821232,0.642857142857143,0.476190476190476
"independent",19,"cv_1se",35,0.0818680165596217,1.29384849011136,0.333333333333333,0.148148148148148
"independent",19,"cvc_max_lambda",38,0.0629781962783572,1.24525301262903,0.534883720930233,0.310077519379845
"independent",20,"cv_min",42,0.04439064791502,1.05224613188779,0.682539682539683,0.511463844797178
"independent",20,"cv_1se",37,0.0687329369489366,1.08320951787734,0.393939393939394,0.134680134680135
"independent",20,"cvc_max_lambda",40,0.0528738398200432,1.05757567970248,0.6,0.4
"independent",21,"cv_min",41,0.048446919482736,1.04439606639487,0.6,0.488888888888889
"independent",21,"cv_1se",35,0.0818680165596217,1.09744948601146,0.166666666666667,0.0925925925925926
"independent",21,"cvc_max_lambda",37,0.0687329369489366,1.06534533373593,0.333333333333333,0.222222222222222
"independent",22,"cv_min",41,0.048446919482736,1.12990178370813,0.705882352941177,0.53921568627451
"independent",22,"cv_1se",36,0.0750135269156635,1.17538170628867,0.459459459459459,0.18018018018018
"independent",22,"cvc_max_lambda",40,0.0528738398200432,1.1324027203968,0.672131147540984,0.510018214936248
"independent",23,"cv_min",41,0.048446919482736,1.07318024321767,0.649122807017544,0.448343079922027
"independent",23,"cv_1se",35,0.0818680165596217,1.1237168105078,0.230769230769231,0.0854700854700855
"independent",23,"cvc_max_lambda",38,0.0629781962783572,1.08774709371827,0.5,0.305555555555556
"independent",24,"cv_min",40,0.0528738398200432,1.11647801778655,0.473684210526316,0.292397660818713
"independent",24,"cv_1se",36,0.0750135269156635,1.15335626652453,0.333333333333333,0.222222222222222
"independent",24,"cvc_max_lambda",39,0.0577052775937964,1.11935162585264,0.428571428571429,0.253968253968254
"independent",25,"cv_min",39,0.0577052775937964,1.27103084396826,0.534883720930233,0.439276485788114
"independent",25,"cv_1se",35,0.0818680165596217,1.30478250293566,0.230769230769231,0.0854700854700855
"independent",25,"cvc_max_lambda",37,0.0687329369489366,1.27855123429793,0.411764705882353,0.261437908496732
"independent",26,"cv_min",41,0.048446919482736,1.1075184994019,0.607843137254902,0.566448801742919
"independent",26,"cv_1se",35,0.0818680165596217,1.16311860735207,0.2,0.177777777777778
"independent",26,"cvc_max_lambda",39,0.0577052775937964,1.11125525902464,0.5,0.444444444444444
"independent",27,"cv_min",40,0.0528738398200432,1.24214131309248,0.591836734693878,0.476190476190476
"independent",27,"cv_1se",36,0.0750135269156635,1.26904645145772,0.428571428571429,0.317460317460317
"independent",27,"cvc_max_lambda",38,0.0629781962783572,1.24733398569788,0.51219512195122,0.43360433604336
"independent",28,"cv_min",40,0.0528738398200432,1.24049457853517,0.607843137254902,0.457516339869281
"independent",28,"cv_1se",34,0.089348846947856,1.28209825995565,0.130434782608696,0
"independent",28,"cvc_max_lambda",38,0.0629781962783572,1.24241259233994,0.51219512195122,0.32520325203252
"independent",29,"cv_min",41,0.048446919482736,1.26761533409806,0.666666666666667,0.425925925925926
"independent",29,"cv_1se",36,0.0750135269156635,1.31002535045529,0.523809523809524,0.211640211640212
"independent",29,"cvc_max_lambda",41,0.048446919482736,1.26761533409806,0.666666666666667,0.425925925925926
"independent",30,"cv_min",43,0.0406739921413883,1.20767755554028,0.736842105263158,0.672514619883041
"independent",30,"cv_1se",38,0.0629781962783572,1.23465039312575,0.523809523809524,0.343915343915344
"independent",30,"cvc_max_lambda",38,0.0629781962783572,1.23465039312575,0.523809523809524,0.343915343915344
"independent",31,"cv_min",42,0.04439064791502,1.11781756735419,0.661016949152542,0.357815442561205
"independent",31,"cv_1se",34,0.089348846947856,1.21069490634315,0.166666666666667,0.0462962962962963
"independent",31,"cvc_max_lambda",40,0.0528738398200432,1.12271238333985,0.6,0.266666666666667
"independent",32,"cv_min",41,0.048446919482736,1.17565484449994,0.655172413793103,0.363984674329502
"independent",32,"cv_1se",37,0.0687329369489366,1.2065983967829,0.459459459459459,0.12012012012012
"independent",32,"cvc_max_lambda",40,0.0528738398200432,1.1778920487975,0.636363636363636,0.343434343434343
"independent",33,"cv_min",40,0.0528738398200432,1.42598785771998,0.67741935483871,0.46594982078853
"independent",33,"cv_1se",33,0.0975132510398305,1.5099616460909,0.333333333333333,0.185185185185185
"independent",33,"cvc_max_lambda",38,0.0629781962783572,1.43111758511871,0.6,0.4
"independent",34,"cv_min",41,0.048446919482736,1.15723629943142,0.655172413793103,0.478927203065134
"independent",34,"cv_1se",34,0.089348846947856,1.24004075399935,0.259259259259259,0.0823045267489712
"independent",34,"cvc_max_lambda",39,0.0577052775937964,1.16109139874271,0.583333333333333,0.37037037037037
"independent",35,"cv_min",41,0.048446919482736,1.11870306211351,0.666666666666667,0.518518518518518
"independent",35,"cv_1se",37,0.0687329369489366,1.14920917115152,0.487179487179487,0.256410256410256
"independent",35,"cvc_max_lambda",38,0.0629781962783572,1.13500543897737,0.555555555555556,0.345679012345679
"independent",36,"cv_min",40,0.0528738398200432,1.13790009017643,0.666666666666667,0.37037037037037
"independent",36,"cv_1se",35,0.0818680165596217,1.18865865178891,0.354838709677419,0.17921146953405
"independent",36,"cvc_max_lambda",40,0.0528738398200432,1.13790009017643,0.666666666666667,0.37037037037037
"independent",37,"cv_min",41,0.048446919482736,1.16781221372662,0.666666666666667,0.462962962962963
"independent",37,"cv_1se",34,0.089348846947856,1.23595567613544,0.285714285714286,0.158730158730159
"independent",37,"cvc_max_lambda",38,0.0629781962783572,1.1753954234202,0.534883720930233,0.284237726098191
"independent",38,"cv_min",40,0.0528738398200432,1.21640304123242,0.642857142857143,0.436507936507937
"independent",38,"cv_1se",35,0.0818680165596217,1.26030226084056,0.354838709677419,0.14336917562724
"independent",38,"cvc_max_lambda",38,0.0629781962783572,1.22326463958693,0.555555555555556,0.37037037037037
"independent",39,"cv_min",41,0.048446919482736,1.14888485953069,0.661016949152542,0.508474576271186
"independent",39,"cv_1se",36,0.0750135269156635,1.18384936093788,0.333333333333333,0.111111111111111
"independent",39,"cvc_max_lambda",38,0.0629781962783572,1.15859823809534,0.444444444444444,0.216049382716049
"independent",40,"cv_min",40,0.0528738398200432,1.17997308025426,0.565217391304348,0.458937198067633
"independent",40,"cv_1se",35,0.0818680165596217,1.21885209470347,0.230769230769231,0.128205128205128
"independent",40,"cvc_max_lambda",38,0.0629781962783572,1.18399652406349,0.487179487179487,0.37037037037037
"independent",41,"cv_min",40,0.0528738398200432,1.28651666801832,0.642857142857143,0.456349206349206
"independent",41,"cv_1se",33,0.0975132510398305,1.38516588944103,0.2,0.0888888888888889
"independent",41,"cvc_max_lambda",38,0.0629781962783572,1.29303117929017,0.565217391304348,0.36231884057971
"independent",42,"cv_min",40,0.0528738398200432,1.06118924369469,0.615384615384615,0.448717948717949
"independent",42,"cv_1se",36,0.0750135269156635,1.0928893310873,0.333333333333333,0.222222222222222
"independent",42,"cvc_max_lambda",39,0.0577052775937964,1.06377710106484,0.574468085106383,0.425531914893617
"independent",43,"cv_min",42,0.04439064791502,1.13786463153718,0.6875,0.572916666666667
"independent",43,"cv_1se",36,0.0750135269156635,1.17909922461064,0.354838709677419,0.25089605734767
"independent",43,"cvc_max_lambda",40,0.0528738398200432,1.14031646603889,0.6,0.466666666666667
"independent",44,"cv_min",42,0.04439064791502,1.06090912896842,0.666666666666667,0.425925925925926
"independent",44,"cv_1se",37,0.0687329369489366,1.09221123050056,0.333333333333333,0.111111111111111
"independent",44,"cvc_max_lambda",38,0.0629781962783572,1.08137141443507,0.428571428571429,0.19047619047619
"independent",45,"cv_min",43,0.0406739921413883,1.15505486485977,0.72972972972973,0.525525525525525
"independent",45,"cv_1se",35,0.0818680165596217,1.2362983340434,0.393939393939394,0.202020202020202
"independent",45,"cvc_max_lambda",40,0.0528738398200432,1.16380310091832,0.636363636363636,0.363636363636364
"independent",46,"cv_min",40,0.0528738398200432,1.09966523087073,0.607843137254902,0.392156862745098
"independent",46,"cv_1se",35,0.0818680165596217,1.15019160654097,0.285714285714286,0.119047619047619
"independent",46,"cvc_max_lambda",38,0.0629781962783572,1.10630117294682,0.51219512195122,0.29810298102981
"independent",47,"cv_min",40,0.0528738398200432,1.10098028843919,0.523809523809524,0.423280423280423
"independent",47,"cv_1se",36,0.0750135269156635,1.14386140870527,0.333333333333333,0.259259259259259
"independent",47,"cvc_max_lambda",40,0.0528738398200432,1.10098028843919,0.523809523809524,0.423280423280423
"independent",48,"cv_min",42,0.04439064791502,1.1603446131105,0.672131147540984,0.455373406193078
"independent",48,"cv_1se",37,0.0687329369489366,1.20072033638569,0.459459459459459,0.21021021021021
"independent",48,"cvc_max_lambda",39,0.0577052775937964,1.1729668709309,0.574468085106383,0.307328605200946
"independent",49,"cv_min",41,0.048446919482736,1.18001201973215,0.67741935483871,0.448028673835125
"independent",49,"cv_1se",35,0.0818680165596217,1.23436105479436,0.333333333333333,0.148148148148148
"independent",49,"cvc_max_lambda",38,0.0629781962783572,1.19186858624418,0.51219512195122,0.2710027100271
"independent",50,"cv_min",39,0.0577052775937964,1.24285443706876,0.523809523809524,0.343915343915344
"independent",50,"cv_1se",33,0.0975132510398305,1.33420674043136,0.2,0.0444444444444444
"independent",50,"cvc_max_lambda",38,0.0629781962783572,1.24580616081456,0.473684210526316,0.292397660818713
"independent",51,"cv_min",39,0.0577052775937964,1.23334572676633,0.523809523809524,0.185185185185185
"independent",51,"cv_1se",34,0.089348846947856,1.29389979184138,0.230769230769231,0.0854700854700855
"independent",51,"cvc_max_lambda",39,0.0577052775937964,1.23334572676633,0.523809523809524,0.185185185185185
"independent",52,"cv_min",39,0.0577052775937964,1.14739229715722,0.6,0.377777777777778
"independent",52,"cv_1se",35,0.0818680165596217,1.19208644727962,0.333333333333333,0.185185185185185
"independent",52,"cvc_max_lambda",39,0.0577052775937964,1.14739229715722,0.6,0.377777777777778
"independent",53,"cv_min",40,0.0528738398200432,1.12036994151455,0.565217391304348,0.507246376811594
"independent",53,"cv_1se",33,0.0975132510398305,1.2179303441586,0.2,0.0888888888888889
"independent",53,"cvc_max_lambda",39,0.0577052775937964,1.12150586296961,0.523809523809524,0.44973544973545
"independent",54,"cv_min",43,0.0406739921413883,1.04251349492796,0.736842105263158,0.511695906432749
"independent",54,"cv_1se",36,0.0750135269156635,1.10383217039789,0.487179487179487,0.313390313390313
"independent",54,"cvc_max_lambda",39,0.0577052775937964,1.05829650242723,0.636363636363636,0.404040404040404
"independent",55,"cv_min",44,0.0372685174563073,1.15277588727633,0.753086419753086,0.56241426611797
"independent",55,"cv_1se",36,0.0750135269156635,1.21084908050876,0.393939393939394,0.101010101010101
"independent",55,"cvc_max_lambda",39,0.0577052775937964,1.17276948630586,0.62962962962963,0.37037037037037
"independent",56,"cv_min",40,0.0528738398200432,1.23382129873926,0.583333333333333,0.439814814814815
"independent",56,"cv_1se",34,0.089348846947856,1.31169840336826,0.2,0.0888888888888889
"independent",56,"cvc_max_lambda",39,0.0577052775937964,1.23706616027423,0.574468085106383,0.425531914893617
"independent",57,"cv_min",40,0.0528738398200432,1.1932481035832,0.622641509433962,0.50314465408805
"independent",57,"cv_1se",35,0.0818680165596217,1.23335047543772,0.2,0.177777777777778
"independent",57,"cvc_max_lambda",38,0.0629781962783572,1.19896578093339,0.51219512195122,0.40650406504065
"independent",58,"cv_min",40,0.0528738398200432,1.15332123538427,0.545454545454545,0.378787878787879
"independent",58,"cv_1se",34,0.089348846947856,1.23141505058942,0.230769230769231,0.128205128205128
"independent",58,"cvc_max_lambda",38,0.0629781962783572,1.16066431805079,0.411764705882353,0.228758169934641
"independent",59,"cv_min",42,0.04439064791502,1.07520023556875,0.696969696969697,0.538720538720539
"independent",59,"cv_1se",38,0.0629781962783572,1.10385855164975,0.555555555555556,0.345679012345679
"independent",59,"cvc_max_lambda",40,0.0528738398200432,1.08434143313957,0.666666666666667,0.5
"independent",60,"cv_min",43,0.0406739921413883,1.14265754230397,0.74025974025974,0.533910533910534
"independent",60,"cv_1se",35,0.0818680165596217,1.19897524614086,0.285714285714286,0.0793650793650794
"independent",60,"cvc_max_lambda",38,0.0629781962783572,1.15583334411996,0.51219512195122,0.2710027100271
"independent",61,"cv_min",41,0.048446919482736,1.11797320730443,0.672131147540984,0.455373406193078
"independent",61,"cv_1se",37,0.0687329369489366,1.14285355463233,0.51219512195122,0.35230352303523
"independent",61,"cvc_max_lambda",39,0.0577052775937964,1.12177238710343,0.555555555555556,0.345679012345679
"independent",62,"cv_min",40,0.0528738398200432,1.11366851342756,0.555555555555556,0.320987654320988
"independent",62,"cv_1se",34,0.089348846947856,1.18563392321566,0.285714285714286,0.158730158730159
"independent",62,"cvc_max_lambda",38,0.0629781962783572,1.12133720964678,0.444444444444444,0.216049382716049
"independent",63,"cv_min",41,0.048446919482736,1.06647521529741,0.636363636363636,0.424242424242424
"independent",63,"cv_1se",35,0.0818680165596217,1.1173122723099,0.310344827586207,0.153256704980843
"independent",63,"cvc_max_lambda",40,0.0528738398200432,1.06735277527369,0.6,0.355555555555556
"independent",64,"cv_min",43,0.0406739921413883,1.0547666032941,0.705882352941177,0.457516339869281
"independent",64,"cv_1se",35,0.0818680165596217,1.14730953326292,0.375,0.173611111111111
"independent",64,"cvc_max_lambda",39,0.0577052775937964,1.07603965117392,0.555555555555556,0.271604938271605
"independent",65,"cv_min",41,0.048446919482736,1.08725502778066,0.62962962962963,0.473251028806584
"independent",65,"cv_1se",35,0.0818680165596217,1.1450421528025,0.230769230769231,0.0854700854700855
"independent",65,"cvc_max_lambda",39,0.0577052775937964,1.09017576813651,0.523809523809524,0.343915343915344
"independent",66,"cv_min",42,0.04439064791502,1.18724833406605,0.705882352941177,0.457516339869281
"independent",66,"cv_1se",39,0.0577052775937964,1.19944049011241,0.574468085106383,0.307328605200946
"independent",66,"cvc_max_lambda",40,0.0528738398200432,1.19241780047001,0.622641509433962,0.356394129979036
"independent",67,"cv_min",41,0.048446919482736,1.16574860769861,0.655172413793103,0.478927203065134
"independent",67,"cv_1se",34,0.089348846947856,1.23369810568458,0.2,0
"independent",67,"cvc_max_lambda",39,0.0577052775937964,1.16882761824763,0.583333333333333,0.347222222222222
"independent",68,"cv_min",43,0.0406739921413883,1.11108171659993,0.692307692307692,0.478632478632479
"independent",68,"cv_1se",35,0.0818680165596217,1.17937326632175,0.354838709677419,0.10752688172043
"independent",68,"cvc_max_lambda",39,0.0577052775937964,1.12241616438936,0.545454545454545,0.252525252525253
"independent",69,"cv_min",39,0.0577052775937964,1.18110213206041,0.523809523809524,0.264550264550265
"independent",69,"cv_1se",34,0.089348846947856,1.22859563555545,0.166666666666667,0.0462962962962963
"independent",69,"cvc_max_lambda",39,0.0577052775937964,1.18110213206041,0.523809523809524,0.264550264550265
"independent",70,"cv_min",42,0.04439064791502,1.16489111520837,0.692307692307692,0.478632478632479
"independent",70,"cv_1se",35,0.0818680165596217,1.22749267746608,0.333333333333333,0.148148148148148
"independent",70,"cvc_max_lambda",41,0.048446919482736,1.16512852497987,0.661016949152542,0.414312617702448
"independent",71,"cv_min",42,0.04439064791502,1.07106739458332,0.636363636363636,0.444444444444444
"independent",71,"cv_1se",37,0.0687329369489366,1.10896956318012,0.333333333333333,0.148148148148148
"independent",71,"cvc_max_lambda",40,0.0528738398200432,1.07667266067051,0.565217391304348,0.338164251207729
"independent",72,"cv_min",40,0.0528738398200432,1.10336888972207,0.545454545454545,0.429292929292929
"independent",72,"cv_1se",35,0.0818680165596217,1.14550367128545,0.0909090909090909,0
"independent",72,"cvc_max_lambda",38,0.0629781962783572,1.10693942448994,0.428571428571429,0.349206349206349
"independent",73,"cv_min",45,0.0341481698812089,1.0996946694679,0.78021978021978,0.549450549450549
"independent",73,"cv_1se",37,0.0687329369489366,1.13653614872623,0.534883720930233,0.258397932816537
"independent",73,"cvc_max_lambda",39,0.0577052775937964,1.11628712503201,0.642857142857143,0.396825396825397
"independent",74,"cv_min",41,0.048446919482736,1.229051778538,0.655172413793103,0.363984674329502
"independent",74,"cv_1se",32,0.106423691554815,1.37676442147616,0.130434782608696,0.0483091787439614
"independent",74,"cvc_max_lambda",38,0.0629781962783572,1.24314868997172,0.555555555555556,0.246913580246914
"independent",75,"cv_min",42,0.04439064791502,1.06014721855065,0.701492537313433,0.464344941956882
"independent",75,"cv_1se",37,0.0687329369489366,1.09355985224098,0.393939393939394,0.134680134680135
"independent",75,"cvc_max_lambda",40,0.0528738398200432,1.06708907115973,0.615384615384615,0.363247863247863
"independent",76,"cv_min",39,0.0577052775937964,1.18201561696662,0.51219512195122,0.29810298102981
