"scenario","method","lambda","mse_mean","true_fdr_mean","est_fdr_mean","fdp_mean"
"independent","ncv0",0.00772320945303067,1.43944403775643,0.880261596040726,0.862000975687061,0.880261596040726
"independent","ncv0",0.00707657525522565,1.45563547979421,0.882250245702301,0.866104733816669,0.882250245702301
"independent","ncv0",0.00648408121616084,1.4712019585001,0.883873283804532,0.86943979530455,0.883873283804532
"independent","ncv0",0.00594119439155589,1.4861909511189,0.885477002421485,0.87277672432444,0.885477002421485
"independent","ncv0",0.00544376136287119,1.50051369190757,0.886683244117227,0.875319597259074,0.886683244117227
"independent","ncv0",0.00498797646109815,1.51416425484029,0.887908460727856,0.877851111067639,0.887908460727856
"independent","ncv0",0.00457035265104768,1.52714246818194,0.888931703919781,0.879956598773676,0.888931703919781
"independent","ncv0",0.00418769485338345,1.5395211738498,0.890003301312591,0.882194122219829,0.890003301312591
"independent","ncv0",0.00383707550029739,1.55120556881877,0.890871288763378,0.883986217623434,0.890871288763378
"independent","ncv0",0.00351581213781297,1.56250217531604,0.891704169629919,0.885684898389107,0.891704169629919
"independent","ncv0",0.00322144690336038,1.57319814364549,0.89245216210366,0.887235889866643,0.89245216210366
"independent","ncv0",0.00295172772161419,1.5834410707223,0.893076599596814,0.888557544169812,0.893076599596814
"independent","ncv0",0.00270459107473018,1.59316011259773,0.893674869119408,0.889799163218989,0.893674869119408
"independent","ncv0",0.00247814621516309,1.60234205884562,0.894205949127844,0.8909141802935,0.894205949127844
"independent","ncv0",0.00227066070028343,1.61100571497657,0.894713781969315,0.891971136123808,0.894713781969315
"independent","ncv0",0.00208054713812451,1.61914750002557,0.895178849515072,0.892938883818267,0.895178849515072
"independent","ncv0",0.00190635104285627,1.62677346165827,0.895621430867732,0.893856734897765,0.895621430867732
"independent","ncv0",0.00174673970707301,1.63390262138212,0.896010912866908,0.894649393936103,0.896010912866908
"independent","ncv0",0.00160049200576095,1.64055452695861,0.896365133170187,0.895379632241288,0.896365133170187
"independent","ncv1",1.60049200576095,21.1149430495936,0,0,0
"independent","ncv1",1.46648905393987,21.0872072519887,0,0,0
"independent","ncv1",1.34370564650397,20.9704780826862,0,0,0
"independent","ncv1",1.23120241477144,20.6463347312258,0,0,0
"independent","ncv1",1.12811863973555,20.0245876838931,0,0,0
"independent","ncv1",1.03366566703415,19.0874609699942,0,0,0
"independent","ncv1",0.947120873258172,17.8356998643068,0,0,0
"independent","ncv1",0.867822137437488,16.3338333569617,0,0,0
"independent","ncv1",0.795162775407741,14.6541702880462,0,0,0
"independent","ncv1",0.728586898302864,12.892664794131,0,0,0
"independent","ncv1",0.66758515966292,11.1810261340565,0,0,0
"independent","ncv1",0.611690858620008,9.61439210500916,0,0,0
"independent","ncv1",0.560476369349204,8.25231420052197,0,0,0
"independent","ncv1",0.513549869467659,7.09739126060451,0,0,0
"independent","ncv1",0.470552342352066,6.1259064060612,0,0,0
"independent","ncv1",0.431154830440396,5.31014331524257,0,0,0
"independent","ncv1",0.395055918503962,4.62525671725526,0,0,0
"independent","ncv1",0.3619794276353,4.05025343718565,0,0,0
"independent","ncv1",0.33167230230944,3.56750775263825,0,0,0
"independent","ncv1",0.303902674353299,3.16223064082138,0,0,0
"independent","ncv1",0.278458089011369,2.82199741982279,0,0,0
"independent","ncv1",0.25514387953599,2.53638159571495,0,0,0
"independent","ncv1",0.233781677866854,2.29665595560564,0.000476190476190476,0.000529100529100529,0.000476190476190476
"independent","ncv1",0.214208050005496,2.09547391670257,0.00116883116883117,0.000781625781625782,0.00116883116883117
"independent","ncv1",0.196273245644555,1.9267183429485,0.00329004329004329,0.00103415103415103,0.00329004329004329
"independent","ncv1",0.179840052485699,1.7851724846427,0.00614718614718615,0.0012987012987013,0.00614718614718615
"independent","ncv1",0.164782746481047,1.66660004841643,0.0103679653679654,0.00234487734487734,0.0103679653679654
"independent","ncv1",0.150986129966773,1.56740505408427,0.0172214379823075,0.00515977581194972,0.0172214379823075
"independent","ncv1",0.138344650330035,1.48457704525166,0.0300978731413514,0.00759196520066085,0.0300978731413514
"independent","ncv1",0.126761592466485,1.41557537361005,0.050659022137283,0.0123665585622107,0.050659022137283
"independent","ncv1",0.116148338850154,1.35827723860628,0.0800132693393563,0.0216804117782379,0.0800132693393563
"independent","ncv1",0.106423691554815,1.31094525251309,0.124423173944163,0.0366727556304851,0.124423173944163
"independent","ncv1",0.0975132510398305,1.27209883443804,0.177342075524815,0.0579963225107051,0.177342075524815
"independent","ncv1",0.089348846947856,1.24062984549923,0.239834717645957,0.0918033917859885,0.239834717645957
"independent","ncv1",0.0818680165596217,1.21540172772012,0.308706721328149,0.136462566894949,0.308706721328149
"independent","ncv1",0.0750135269156635,1.1956219770674,0.381401948067187,0.188491099218961,0.381401948067187
"independent","ncv1",0.0687329369489366,1.18056821378609,0.445099457655821,0.238881147942922,0.445099457655821
"independent","ncv1",0.0629781962783572,1.16957599676321,0.510805740164844,0.298158188120229,0.510805740164844
"independent","ncv1",0.0577052775937964,1.16224495384495,0.565088666991661,0.354341801344487,0.565088666991661
"independent","ncv1",0.0528738398200432,1.15808407266387,0.612505766193993,0.40890934727309,0.612505766193993
"independent","ncv1",0.048446919482736,1.15682218775822,0.653879645566638,0.459694463656759,0.653879645566638
"independent","ncv1",0.04439064791502,1.15808733522298,0.687399726879722,0.507989785694849,0.687399726879722
"independent","ncv1",0.0406739921413883,1.16156608712567,0.716424284914304,0.550826722736356,0.716424284914304
"independent","ncv1",0.0372685174563073,1.16710776193987,0.741519483543165,0.590667867512061,0.741519483543165
"independent","ncv1",0.0341481698812089,1.17459180529814,0.761616800346262,0.625741136921191,0.761616800346262
"independent","ncv1",0.0312890768355088,1.18384306860763,0.77869965137537,0.656883718598496,0.77869965137537
"independent","ncv1",0.0286693644966638,1.19464441136333,0.79383491058043,0.685269075003604,0.79383491058043
"independent","ncv1",0.0262689904519582,1.20683859998786,0.805759373238561,0.708629004139475,0.805759373238561
"independent","ncv1",0.0240695903617038,1.22025518794628,0.816816339684416,0.73127233844725,0.816816339684416
"independent","ncv1",0.0220543374607316,1.23478120295134,0.826113587841572,0.749975732408847,0.826113587841572
"independent","ncv1",0.020207813823276,1.25020436177368,0.834314627971683,0.766876278903648,0.834314627971683
"independent","ncv1",0.0185158924063475,1.26634757558946,0.841725760077561,0.782087975302161,0.841725760077561
"independent","ncv1",0.0169656289691538,1.28312575627302,0.847672385614953,0.794434368930761,0.847672385614953
"independent","ncv1",0.0155451630416861,1.30032318918559,0.853404553277874,0.806242365267031,0.853404553277874
"independent","ncv1",0.0142436271848197,1.31781570867526,0.858275672206249,0.816339042532701,0.858275672206249
"independent","ncv1",0.0130510638477118,1.3354414771896,0.862700374062557,0.825539040680079,0.862700374062557
"independent","ncv1",0.0119583491864054,1.35327061415606,0.866552414148223,0.833522540841714,0.866552414148223
"independent","ncv1",0.0109571232608041,1.37094121823866,0.869911671491163,0.840534631090751,0.869911671491163
"independent","ncv1",0.0100397260759821,1.3885354157735,0.873014934891747,0.846997467059577,0.873014934891747
"independent","ncv1",0.00919913897850576,1.40584611375974,0.875720939023462,0.852658060234993,0.875720939023462
"independent","ncv1",0.00842893095941227,1.42288589207324,0.878164509790556,0.857694180017798,0.878164509790556
"independent","ncv1",0.00772320945303067,1.43944403775643,0.880261596040726,0.862000975687061,0.880261596040726
"independent","ncv1",0.00707657525522565,1.45563547979421,0.882250245702301,0.866104733816669,0.882250245702301
"independent","ncv1",0.00648408121616084,1.4712019585001,0.883873283804532,0.86943979530455,0.883873283804532
"independent","ncv1",0.00594119439155589,1.4861909511189,0.885477002421485,0.87277672432444,0.885477002421485
"independent","ncv1",0.00544376136287119,1.50051369190757,0.886683244117227,0.875319597259074,0.886683244117227
"independent","ncv1",0.00498797646109815,1.51416425484029,0.887908460727856,0.877851111067639,0.887908460727856
"independent","ncv1",0.00457035265104768,1.52714246818194,0.888931703919781,0.879956598773676,0.888931703919781
"independent","ncv1",0.00418769485338345,1.5395211738498,0.890003301312591,0.882194122219829,0.890003301312591
"independent","ncv1",0.00383707550029739,1.55120556881877,0.890871288763378,0.883986217623434,0.890871288763378
"independent","ncv1",0.00351581213781297,1.56250217531604,0.891704169629919,0.885684898389107,0.891704169629919
"independent","ncv1",0.00322144690336038,1.57319814364549,0.89245216210366,0.887235889866643,0.89245216210366
"independent","ncv1",0.00295172772161419,1.5834410707223,0.893076599596814,0.888557544169812,0.893076599596814
"independent","ncv1",0.00270459107473018,1.59316011259773,0.893674869119408,0.889799163218989,0.893674869119408
"independent","ncv1",0.00247814621516309,1.60234205884562,0.894205949127844,0.8909141802935,0.894205949127844
"independent","ncv1",0.00227066070028343,1.61100571497657,0.894713781969315,0.891971136123808,0.894713781969315
"independent","ncv1",0.00208054713812451,1.61914750002557,0.895178849515072,0.892938883818267,0.895178849515072
"independent","ncv1",0.00190635104285627,1.62677346165827,0.895621430867732,0.893856734897765,0.895621430867732
"independent","ncv1",0.00174673970707301,1.63390262138212,0.896010912866908,0.894649393936103,0.896010912866908
"independent","ncv1",0.00160049200576095,1.64055452695861,0.896365133170187,0.895379632241288,0.896365133170187
"correlated","cv",1.60049200576095,10.1015427838938,0,0,0
"correlated","cv",1.46648905393987,8.69679681855945,0,0,0
"correlated","cv",1.34370564650397,7.49785304095941,0,0,0
"correlated","cv",1.23120241477144,6.47732035156276,0,0,0
"correlated","cv",1.12811863973555,5.61302730088208,0,0,0
"correlated","cv",1.03366566703415,4.88343503948775,0,0,0
"correlated","cv",0.947120873258172,4.26914896404222,0,0,0
"correlated","cv",0.867822137437488,3.75258298615631,0,0,0
"correlated","cv",0.795162775407741,3.31837555295176,0,0,0
"correlated","cv",0.728586898302864,2.95370473478132,0,0,0
"correlated","cv",0.66758515966292,2.64768179600368,0,0,0
"correlated","cv",0.611690858620008,2.39081378066001,0,0,0
"correlated","cv",0.560476369349204,2.17521448379595,0,0,0
"correlated","cv",0.513549869467659,1.99414000434302,0.000238095238095238,0,0.000238095238095238
"correlated","cv",0.470552342352066,1.84203108938712,0.000238095238095238,0,0.000238095238095238
"correlated","cv",0.431154830440396,1.71426105707437,0.000238095238095238,0,0.000238095238095238
"correlated","cv",0.395055918503962,1.60685395826169,0.000476190476190476,0.000264550264550265,0.000476190476190476
"correlated","cv",0.3619794276353,1.51659984296171,0.000476190476190476,0.000264550264550265,0.000476190476190476
"correlated","cv",0.33167230230944,1.44076659142857,0.000714285714285714,0.000264550264550265,0.000714285714285714
"correlated","cv",0.303902674353299,1.37709114805456,0.000714285714285714,0.000264550264550265,0.000714285714285714
"correlated","cv",0.278458089011369,1.32362832389683,0.000952380952380952,0.000529100529100529,0.000952380952380952
"correlated","cv",0.25514387953599,1.27874134649885,0.00212121212121212,0.00157527657527658,0.00212121212121212
"correlated","cv",0.233781677866854,1.24104999694242,0.00283549783549784,0.00236892736892737,0.00283549783549784
"correlated","cv",0.214208050005496,1.20940456847519,0.00331168831168831,0.0028980278980279,0.00331168831168831
"correlated","cv",0.196273245644555,1.18283638179077,0.0045021645021645,0.00369167869167869,0.0045021645021645
"correlated","cv",0.179840052485699,1.16052149650002,0.00616883116883117,0.00527898027898028,0.00616883116883117
"correlated","cv",0.164782746481047,1.14178117339284,0.00902597402597403,0.00686628186628187,0.00902597402597403
"correlated","cv",0.150986129966773,1.12607883751203,0.0120562770562771,0.00867003367003367,0.0120562770562771
"correlated","cv",0.138344650330035,1.11294214200888,0.0169264069264069,0.0114838864838865,0.0169264069264069
"correlated","cv",0.126761592466485,1.10201622841259,0.0262017692452475,0.0182842921973357,0.0262017692452475
"correlated","cv",0.116148338850154,1.09309607767846,0.040703557312253,0.0279987138465399,0.040703557312253
"correlated","cv",0.106423691554815,1.08595970780957,0.0619051166225079,0.044477732412515,0.0619051166225079
"correlated","cv",0.0975132510398305,1.08035645030873,0.0915188273883926,0.0651652398862544,0.0915188273883926
"correlated","cv",0.089348846947856,1.07612973596919,0.133064181085171,0.0963900307912052,0.133064181085171
"correlated","cv",0.0818680165596217,1.07309606951741,0.18279272843124,0.130250488546406,0.18279272843124
"correlated","cv",0.0750135269156635,1.07118334594782,0.231663023162419,0.169525484946193,0.231663023162419
"correlated","cv",0.0687329369489366,1.07025224890344,0.287927146483852,0.214128300754711,0.287927146483852
"correlated","cv",0.0629781962783572,1.0703326617125,0.34246581506062,0.26047906478143,0.34246581506062
"correlated","cv",0.0577052775937964,1.0713796417086,0.394018585776728,0.303471888097007,0.394018585776728
"correlated","cv",0.0528738398200432,1.07333850579601,0.435461323445924,0.339090792303656,0.435461323445924
"correlated","cv",0.048446919482736,1.07599488962573,0.479525451935403,0.378095001803133,0.479525451935403
"correlated","cv",0.04439064791502,1.07939427630611,0.519048210491883,0.414374659325785,0.519048210491883
"correlated","cv",0.0406739921413883,1.08351272315537,0.557286013586002,0.450033126300702,0.557286013586002
"correlated","cv",0.0372685174563073,1.08818484469534,0.587778966813169,0.477806215691643,0.587778966813169
"correlated","cv",0.0341481698812089,1.09353508136693,0.619379291701163,0.505022237384339,0.619379291701163
"correlated","cv",0.0312890768355088,1.09948389380783,0.645649506936093,0.52956412088185,0.645649506936093
"correlated","cv",0.0286693644966638,1.10620896733898,0.669685148154982,0.551418554006153,0.669685148154982
"correlated","cv",0.0262689904519582,1.11348936196935,0.694057923262064,0.57409990164439,0.694057923262064
"correlated","cv",0.0240695903617038,1.12146251227977,0.714586279711575,0.595050565667989,0.714586279711575
"correlated","cv",0.0220543374607316,1.13014672071489,0.733270639893628,0.616571574147557,0.733270639893628
"correlated","cv",0.020207813823276,1.13955166366735,0.750395045509097,0.636526694034999,0.750395045509097
"correlated","cv",0.0185158924063475,1.14974907715263,0.765127393536632,0.654730183756812,0.765127393536632
"correlated","cv",0.0169656289691538,1.16052522254772,0.778801366192841,0.673404676861152,0.778801366192841
"correlated","cv",0.0155451630416861,1.17196827476879,0.791466653985637,0.691382940958363,0.791466653985637
"correlated","cv",0.0142436271848197,1.18412763239348,0.803163019586813,0.708577851901776,0.803163019586813
"correlated","cv",0.0130510638477118,1.19664556217165,0.813534719178802,0.725555109883933,0.813534719178802
"correlated","cv",0.0119583491864054,1.20969217204718,0.822747732997311,0.741235569240144,0.822747732997311
"correlated","cv",0.0109571232608041,1.22337174725945,0.830605040789592,0.755439030943145,0.830605040789592
"correlated","cv",0.0100397260759821,1.23734881012545,0.838164585328034,0.770238107110692,0.838164585328034
"correlated","cv",0.00919913897850576,1.2518006966076,0.844337084332279,0.782388881192135,0.844337084332279
"correlated","cv",0.00842893095941227,1.26631753035942,0.849925521150296,0.793744879375078,0.849925521150296
"correlated","cv",0.00772320945303067,1.28119509185206,0.854812889938373,0.803904961284997,0.854812889938373
"correlated","cv",0.00707657525522565,1.29625994080206,0.859514005431961,0.813593455389834,0.859514005431961
"correlated","cv",0.00648408121616084,1.31133312822849,0.86355330577699,0.822123834944819,0.86355330577699
"correlated","cv",0.00594119439155589,1.32641642879002,0.867247230725668,0.829953164750935,0.867247230725668
"correlated","cv",0.00544376136287119,1.3414063941185,0.870270779189288,0.836330445434711,0.870270779189288
"correlated","cv",0.00498797646109815,1.3561532769282,0.873133530531484,0.842380251475264,0.873133530531484
"correlated","cv",0.00457035265104768,1.37065891391147,0.875888413006123,0.848188700075487,0.875888413006123
"correlated","cv",0.00418769485338345,1.38511292001879,0.878171125813575,0.852959554152292,0.878171125813575
"correlated","cv",0.00383707550029739,1.39899593435005,0.880372561080499,0.857559856325133,0.880372561080499
"correlated","cv",0.00351581213781297,1.41244450856967,0.882238525381171,0.861507640504058,0.882238525381171
"correlated","cv",0.00322144690336038,1.42546358168212,0.883916906991015,0.865000817819997,0.883916906991015
"correlated","cv",0.00295172772161419,1.43826492946326,0.885453667896188,0.868247629330044,0.885453667896188
"correlated","cv",0.00270459107473018,1.45064414610071,0.886712443273483,0.870903346441426,0.886712443273483
"correlated","cv",0.00247814621516309,1.46248149532334,0.887969621437515,0.873569743229779,0.887969621437515
"correlated","cv",0.00227066070028343,1.47412493920361,0.889152657196257,0.876060429186807,0.889152657196257
"correlated","cv",0.00208054713812451,1.48556112511385,0.890168726401593,0.878214381349592,0.890168726401593
"correlated","cv",0.00190635104285627,1.49676943804988,0.891168038086693,0.880317219806653,0.891168038086693
"correlated","cv",0.00174673970707301,1.50763298069532,0.8919190276645,0.881932533860058,0.8919190276645
"correlated","cv",0.00160049200576095,1.51835476252655,0.892639088023079,0.883455264846786,0.892639088023079
"correlated","cvc",1.60049200576095,10.1015427838938,0,0,0
"correlated","cvc",1.46648905393987,8.69679681855945,0,0,0
"correlated","cvc",1.34370564650397,7.49785304095941,0,0,0
"correlated","cvc",1.23120241477144,6.47732035156276,0,0,0
"correlated","cvc",1.12811863973555,5.61302730088208,0,0,0
"correlated","cvc",1.03366566703415,4.88343503948775,0,0,0
"correlated","cvc",0.947120873258172,4.26914896404222,0,0,0
"correlated","cvc",0.867822137437488,3.75258298615631,0,0,0
"correlated","cvc",0.795162775407741,3.31837555295176,0,0,0
"correlated","cvc",0.728586898302864,2.95370473478132,0,0,0
"correlated","cvc",0.66758515966292,2.64768179600368,0,0,0
"correlated","cvc",0.611690858620008,2.39081378066001,0,0,0
"correlated","cvc",0.560476369349204,2.17521448379595,0,0,0
"correlated","cvc",0.513549869467659,1.99414000434302,0.000238095238095238,0,0.000238095238095238
"correlated","cvc",0.470552342352066,1.84203108938712,0.000238095238095238,0,0.000238095238095238
"correlated","cvc",0.431154830440396,1.71426105707437,0.000238095238095238,0,0.000238095238095238
"correlated","cvc",0.395055918503962,1.60685395826169,0.000476190476190476,0.000264550264550265,0.000476190476190476
"correlated","cvc",0.3619794276353,1.51659984296171,0.000476190476190476,0.000264550264550265,0.000476190476190476
"correlated","cvc",0.33167230230944,1.44076659142857,0.000714285714285714,0.000264550264550265,0.000714285714285714
"correlated","cvc",0.303902674353299,1.37709114805456,0.000714285714285714,0.000264550264550265,0.000714285714285714
"correlated","cvc",0.278458089011369,1.32362832389683,0.000952380952380952,0.000529100529100529,0.000952380952380952
"correlated","cvc",0.25514387953599,1.27874134649885,0.00212121212121212,0.00157527657527658,0.00212121212121212
"correlated","cvc",0.233781677866854,1.24104999694242,0.00283549783549784,0.00236892736892737,0.00283549783549784
"correlated","cvc",0.214208050005496,1.20940456847519,0.00331168831168831,0.0028980278980279,0.00331168831168831
"correlated","cvc",0.196273245644555,1.18283638179077,0.0045021645021645,0.00369167869167869,0.0045021645021645
"correlated","cvc",0.179840052485699,1.16052149650002,0.00616883116883117,0.00527898027898028,0.00616883116883117
"correlated","cvc",0.164782746481047,1.14178117339284,0.00902597402597403,0.00686628186628187,0.00902597402597403
"correlated","cvc",0.150986129966773,1.12607883751203,0.0120562770562771,0.00867003367003367,0.0120562770562771
"correlated","cvc",0.138344650330035,1.11294214200888,0.0169264069264069,0.0114838864838865,0.0169264069264069
"correlated","cvc",0.126761592466485,1.10201622841259,0.0262017692452475,0.0182842921973357,0.0262017692452475
"correlated","cvc",0.116148338850154,1.09309607767846,0.040703557312253,0.0279987138465399,0.040703557312253
"correlated","cvc",0.106423691554815,1.08595970780957,0.0619051166225079,0.044477732412515,0.0619051166225079
"correlated","cvc",0.0975132510398305,1.08035645030873,0.0915188273883926,0.0651652398862544,0.0915188273883926
"correlated","cvc",0.089348846947856,1.07612973596919,0.133064181085171,0.0963900307912052,0.133064181085171
"correlated","cvc",0.0818680165596217,1.07309606951741,0.18279272843124,0.130250488546406,0.18279272843124
